text	sentiment
Wow... Loved this place.	0
Crust is not good.	1
Not tasty and the texture was just nasty.	1
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	0
The selection on the menu was great and so were the prices.	0
Now I am getting angry and I want my damn pho.	1
Honeslty it didn't taste THAT fresh.)	1
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	1
The fries were great too.	0
A great touch.	0
Service was very prompt.	0
Would not go back.	1
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	1
I tried the Cape Cod ravoli, chicken,with cranberry...mmmm!	0
I was disgusted because I was pretty sure that was human hair.	1
I was shocked because no signs indicate cash only.	1
Highly recommended.	0
Waitress was a little slow in service.	1
This place is not worth your time, let alone Vegas.	1
did not like at all.	1
The Burrittos Blah!	1
The food, amazing.	0
Service is also cute.	0
I could care less... The interior is just beautiful.	0
So they performed.	0
That's right....the red velvet cake.....ohhh this stuff is so good.	0
- They never brought a salad we asked for.	1
This hole in the wall has great Mexican street tacos, and friendly staff.	0
Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	1
The worst was the salmon sashimi.	1
Also there are combos like a burger, fries, and beer for 23 which is a decent deal.	0
This was like the final blow!	1
I found this place by accident and I could not be happier.	0
seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.	1
Overall, I like this place a lot.	0
The only redeeming quality of the restaurant was that it was very inexpensive.	0
Ample portions and good prices.	0
Poor service, the waiter made me feel like I was stupid every time he came to the table.	1
My first visit to Hiro was a delight!	0
Service sucks.	1
The shrimp tender and moist.	0
There is not a deal good enough that would drag me into that establishment again.	1
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	1
On a positive note, our server was very attentive and provided great service.	0
Frozen pucks of disgust, with some of the worst people behind the register.	1
The only thing I did like was the prime rib and dessert section.	0
It's too bad the food is so damn generic.	1
The burger is good beef, cooked just right.	0
If you want a sandwich just go to any Firehouse!!!!!	0
My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.	0
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	0
He came running after us when he realized my husband had left his sunglasses on the table.	0
Their chow mein is so good!	0
They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.	1
The portion was huge!	0
Loved it...friendly servers, great food, wonderful and imaginative menu.	0
